Epoch: [0][0/413], lr: 0.00100	Time 25.983 (25.983)	Data 18.030 (18.030)	Loss 13.0997 (13.0997)	Prec@1 0.000 (0.000)	Prec@5 12.500 (12.500)
Epoch: [0][20/413], lr: 0.00100	Time 1.453 (2.628)	Data 0.000 (0.859)	Loss 0.7579 (1.6842)	Prec@1 0.000 (0.000)	Prec@5 0.000 (4.762)
Epoch: [0][40/413], lr: 0.00100	Time 1.469 (2.064)	Data 0.000 (0.441)	Loss 0.5736 (1.1875)	Prec@1 0.000 (0.915)	Prec@5 25.000 (6.707)
Epoch: [0][60/413], lr: 0.00100	Time 1.500 (1.896)	Data 0.000 (0.296)	Loss 0.6339 (1.0038)	Prec@1 0.000 (1.434)	Prec@5 0.000 (6.557)
Epoch: [0][80/413], lr: 0.00100	Time 1.500 (1.812)	Data 0.000 (0.223)	Loss 0.5626 (0.9096)	Prec@1 0.000 (1.543)	Prec@5 0.000 (5.710)
Epoch: [0][100/413], lr: 0.00100	Time 1.547 (1.766)	Data 0.000 (0.179)	Loss 0.5783 (0.8505)	Prec@1 0.000 (1.238)	Prec@5 12.500 (5.941)
Epoch: [0][120/413], lr: 0.00100	Time 1.687 (1.735)	Data 0.000 (0.150)	Loss 0.6053 (0.8096)	Prec@1 0.000 (1.653)	Prec@5 12.500 (6.405)
Epoch: [0][140/413], lr: 0.00100	Time 1.531 (1.712)	Data 0.000 (0.128)	Loss 0.5487 (0.7785)	Prec@1 12.500 (1.862)	Prec@5 25.000 (6.560)
Epoch: [0][160/413], lr: 0.00100	Time 1.594 (1.696)	Data 0.000 (0.112)	Loss 0.5489 (0.7540)	Prec@1 0.000 (1.863)	Prec@5 12.500 (6.755)
Epoch: [0][180/413], lr: 0.00100	Time 1.516 (1.682)	Data 0.000 (0.100)	Loss 0.5540 (0.7335)	Prec@1 0.000 (2.003)	Prec@5 0.000 (7.044)
Epoch: [0][200/413], lr: 0.00100	Time 1.500 (1.671)	Data 0.000 (0.090)	Loss 0.5500 (0.7173)	Prec@1 0.000 (1.866)	Prec@5 12.500 (7.338)
Epoch: [0][220/413], lr: 0.00100	Time 1.500 (1.663)	Data 0.000 (0.082)	Loss 0.5181 (0.7028)	Prec@1 12.500 (1.980)	Prec@5 12.500 (8.201)
Epoch: [0][240/413], lr: 0.00100	Time 1.562 (1.655)	Data 0.000 (0.075)	Loss 0.5889 (0.6896)	Prec@1 0.000 (2.334)	Prec@5 12.500 (8.973)
Epoch: [0][260/413], lr: 0.00100	Time 1.500 (1.649)	Data 0.000 (0.069)	Loss 0.5184 (0.6799)	Prec@1 12.500 (2.395)	Prec@5 25.000 (8.908)
Epoch: [0][280/413], lr: 0.00100	Time 1.562 (1.643)	Data 0.000 (0.064)	Loss 0.5480 (0.6709)	Prec@1 0.000 (2.402)	Prec@5 12.500 (9.030)
Epoch: [0][300/413], lr: 0.00100	Time 1.656 (1.640)	Data 0.000 (0.060)	Loss 0.5338 (0.6625)	Prec@1 0.000 (2.367)	Prec@5 0.000 (9.136)
Epoch: [0][320/413], lr: 0.00100	Time 1.578 (1.635)	Data 0.000 (0.056)	Loss 0.5748 (0.6545)	Prec@1 0.000 (2.531)	Prec@5 12.500 (9.540)
Epoch: [0][340/413], lr: 0.00100	Time 1.703 (1.632)	Data 0.000 (0.053)	Loss 0.5076 (0.6476)	Prec@1 12.500 (2.676)	Prec@5 37.500 (9.897)
Epoch: [0][360/413], lr: 0.00100	Time 1.687 (1.629)	Data 0.000 (0.050)	Loss 0.4878 (0.6406)	Prec@1 12.500 (2.770)	Prec@5 25.000 (10.457)
Epoch: [0][380/413], lr: 0.00100	Time 1.500 (1.625)	Data 0.000 (0.048)	Loss 0.4873 (0.6343)	Prec@1 12.500 (2.920)	Prec@5 25.000 (10.892)
Epoch: [0][400/413], lr: 0.00100	Time 1.531 (1.622)	Data 0.000 (0.045)	Loss 0.5838 (0.6284)	Prec@1 0.000 (3.273)	Prec@5 12.500 (11.409)
Test: [0/473]	Time 17.046 (17.046)	Loss 0.4236 (0.4236)	Prec@1 0.000 (0.000)	Prec@5 75.000 (75.000)
Test: [20/473]	Time 0.156 (0.963)	Loss 0.5729 (0.4695)	Prec@1 0.000 (5.952)	Prec@5 0.000 (39.881)
Test: [40/473]	Time 0.156 (0.571)	Loss 0.4742 (0.4613)	Prec@1 0.000 (12.805)	Prec@5 12.500 (44.817)
Test: [60/473]	Time 0.156 (0.436)	Loss 0.5619 (0.4724)	Prec@1 0.000 (8.607)	Prec@5 0.000 (35.656)
Test: [80/473]	Time 0.156 (0.367)	Loss 0.4995 (0.4914)	Prec@1 0.000 (6.481)	Prec@5 0.000 (26.852)
Test: [100/473]	Time 0.172 (0.326)	Loss 0.5560 (0.4801)	Prec@1 0.000 (9.282)	Prec@5 0.000 (29.579)
Test: [120/473]	Time 0.156 (0.299)	Loss 0.4827 (0.4711)	Prec@1 0.000 (11.364)	Prec@5 0.000 (31.818)
Test: [140/473]	Time 0.156 (0.279)	Loss 0.5146 (0.4725)	Prec@1 0.000 (9.752)	Prec@5 0.000 (31.294)
Test: [160/473]	Time 0.156 (0.264)	Loss 0.3914 (0.4676)	Prec@1 0.000 (10.404)	Prec@5 87.500 (32.531)
Test: [180/473]	Time 0.172 (0.253)	Loss 0.4431 (0.4751)	Prec@1 0.000 (9.254)	Prec@5 37.500 (29.834)
Test: [200/473]	Time 0.156 (0.244)	Loss 0.5445 (0.4732)	Prec@1 0.000 (8.396)	Prec@5 0.000 (30.286)
Test: [220/473]	Time 0.172 (0.236)	Loss 0.5212 (0.4787)	Prec@1 0.000 (7.692)	Prec@5 0.000 (27.885)
Test: [240/473]	Time 0.172 (0.230)	Loss 0.4229 (0.4816)	Prec@1 25.000 (7.158)	Prec@5 100.000 (26.712)
Test: [260/473]	Time 0.156 (0.225)	Loss 0.6823 (0.4834)	Prec@1 0.000 (6.849)	Prec@5 0.000 (26.437)
Test: [280/473]	Time 0.172 (0.220)	Loss 0.6038 (0.4857)	Prec@1 0.000 (6.450)	Prec@5 0.000 (25.489)
Test: [300/473]	Time 0.172 (0.216)	Loss 0.5405 (0.4868)	Prec@1 0.000 (6.105)	Prec@5 0.000 (25.291)
Test: [320/473]	Time 0.156 (0.213)	Loss 0.4338 (0.4887)	Prec@1 0.000 (5.724)	Prec@5 75.000 (24.377)
Test: [340/473]	Time 0.156 (0.210)	Loss 0.5894 (0.4942)	Prec@1 0.000 (5.389)	Prec@5 0.000 (23.167)
Test: [360/473]	Time 0.172 (0.208)	Loss 0.5613 (0.4910)	Prec@1 0.000 (6.337)	Prec@5 0.000 (24.688)
Test: [380/473]	Time 0.172 (0.206)	Loss 0.4945 (0.4932)	Prec@1 0.000 (6.004)	Prec@5 12.500 (23.622)
Test: [400/473]	Time 0.172 (0.204)	Loss 0.5758 (0.4924)	Prec@1 0.000 (5.704)	Prec@5 0.000 (24.096)
Test: [420/473]	Time 0.172 (0.202)	Loss 0.4550 (0.4928)	Prec@1 0.000 (5.552)	Prec@5 0.000 (24.080)
Test: [440/473]	Time 0.172 (0.200)	Loss 0.4786 (0.4943)	Prec@1 12.500 (5.329)	Prec@5 37.500 (23.073)
Test: [460/473]	Time 0.156 (0.198)	Loss 0.5435 (0.4922)	Prec@1 0.000 (6.182)	Prec@5 0.000 (23.834)
Testing Results: Prec@1 6.027 Prec@5 23.341 Loss 0.49427
Best Prec@1: 6.027

Epoch: [1][0/413], lr: 0.00100	Time 19.561 (19.561)	Data 17.780 (17.780)	Loss 0.4602 (0.4602)	Prec@1 12.500 (12.500)	Prec@5 50.000 (50.000)
Epoch: [1][20/413], lr: 0.00100	Time 1.516 (2.379)	Data 0.000 (0.847)	Loss 0.5232 (0.5058)	Prec@1 0.000 (7.143)	Prec@5 12.500 (22.024)
